MEGR001;GYB;1000;07.21. 13:00;1500;20 000
MEGR002;FB;1200;07.22. 08:00;3500;50 000
MEGR003;SB;250;07.23. 14:00;2400;30 000
MEGR004;FB;1000;07.30. 08:00;1200;100 000
MEGR005;SB;3000;07.25. 16:00;2000;10 000
MEGR006;FB;450;07.28. 12:00;2400;25 000
MEGR007;GYB;2810;07.30. 14:00;3100;35 000
MEGR008;GYB;420;08.05. 10:00;3100;30 000
MEGR009;FB;50;08.15. 18:00;4000;80 000
MEGR010;SB;142;07.26. 12:00;1350;100 000
MEGR011;SB;6000;07.30. 08:00;2000;30 000
MEGR012;SB;4050;08.15. 10:10;1550;45 000
MEGR013;FB;1030;08.01. 12:00;2500;38 000
MEGR014;GYB;1280;07.31. 16:00;5000;30 000
MEGR015;SB;1000;08.05. 12:45;3000;200 000
MEGR016;GYB;1500;09.21. 13:00;1700;25 000
MEGR017;FB;1000;09.22. 08:00;3000;60 000
MEGR018;SB;500;09.23. 14:00;2700;40 000
MEGR019;FB;1000;09.30. 08:00;1500;65 000
MEGR020;SB;3000;10.25. 16:00;1500;15 000
MEGR021;FB;800;08.12. 12:00;2800;30 000
MEGR022;GYB;2500;08.15. 14:00;2800;40 000
MEGR023;GYB;500;08.05. 10:00;3100;30 000
MEGR024;FB;250;10.15. 18:00;4000;80 000
MEGR025;SB;1420;09.01. 12:00;3050;85 000
MEGR026;SB;5000;10.15. 08:00;2500;25 000
MEGR027;SB;3550;09.30. 10:10;1850;55 000
MEGR028;FB;1530;10.01. 12:00;2000;45 000
MEGR029;GYB;2080;09.20. 16:00;4500;35 000
MEGR015;SB;1500;09.20. 12:45;4500;150 000
