Dátum;Gép;Kezdő időpont;Kezdő időpont;Megrendelésszám
2020.07.20.;VÁGÓ-1;06:00;10:12;MEGR003
2020.07.20.;VÁGÓ-2;06:00;10:12;MEGR003
2020.07.20.;VÁGÓ-3;06:00;10:12;MEGR003
2020.07.20.;VÁGÓ-4;06:00;10:12;MEGR003
2020.07.20.;VÁGÓ-5;06:00;10:06;MEGR003
2020.07.20.;VÁGÓ-6;06:00;10:06;MEGR003
2020.07.20.;HAJLÍTÓ-1;06:06;22:00;MEGR003
2020.07.20.;HAJLÍTÓ-2;06:06;22:00;MEGR003
2020.07.20.;HEGESZTŐ-1;06:21;22:00;MEGR003
2020.07.20.;HEGESZTŐ-2;06:21;22:00;MEGR003
2020.07.20.;TESZTELŐ-1;06:31;22:00;MEGR003
2020.07.20.;HEGESZTŐ-3;06:36;22:00;MEGR003
2020.07.20.;FESTŐ-1;06:36;22:00;MEGR003
2020.07.20.;FESTŐ-2;06:41;22:00;MEGR003
2020.07.20.;CSOMAGOLÓ-1;06:49;22:00;MEGR003
2020.07.20.;FESTŐ-3;06:51;22:00;MEGR003
2020.07.20.;CSOMAGOLÓ-2;06:54;22:00;MEGR003
2020.07.20.;FESTŐ-4;06:56;22:00;MEGR003
2020.07.20.;CSOMAGOLÓ-3;07:04;22:00;MEGR003
2020.07.20.;VÁGÓ-5;10:06;12:24;MEGR010
2020.07.20.;VÁGÓ-6;10:06;12:24;MEGR010
2020.07.20.;VÁGÓ-1;10:12;12:36;MEGR010
2020.07.20.;VÁGÓ-2;10:12;12:36;MEGR010
2020.07.20.;VÁGÓ-3;10:12;12:36;MEGR010
2020.07.20.;VÁGÓ-4;10:12;12:36;MEGR010
2020.07.20.;VÁGÓ-5;12:24;22:00;MEGR004
2020.07.20.;VÁGÓ-6;12:24;22:00;MEGR004
2020.07.20.;VÁGÓ-1;12:36;22:00;MEGR004
2020.07.20.;VÁGÓ-2;12:36;22:00;MEGR004
2020.07.20.;VÁGÓ-3;12:36;22:00;MEGR004
2020.07.20.;VÁGÓ-4;12:36;22:00;MEGR004
2020.07.21.;HAJLÍTÓ-1;06:00;21:21;MEGR003
2020.07.21.;HAJLÍTÓ-2;06:00;21:21;MEGR003
2020.07.21.;HEGESZTŐ-1;06:00;21:31;MEGR003
2020.07.21.;HEGESZTŐ-2;06:00;21:16;MEGR003
2020.07.21.;HEGESZTŐ-3;06:00;21:31;MEGR003
2020.07.21.;TESZTELŐ-1;06:00;21:41;MEGR003
2020.07.21.;FESTŐ-1;06:00;21:49;MEGR003
2020.07.21.;FESTŐ-2;06:00;21:54;MEGR003
2020.07.21.;FESTŐ-3;06:00;21:34;MEGR003
